51 87 70 49 76
16 16 16 76 76
38 17 82 93 58
25 93 66 26 25
28 70 12 66 37
71 97 30 95 60
13 50 14 80 94
34 11 75 49 25
76 51 33 88 16
94 48 57 52 45
61 93 30 94 94
57 32 10 84 76
51 15 54 11 27
80 55 66 82 31
86 12 33 89 47
39 39 45 66 80
49 61 28 93 24
98 59 40 51 91
88 46 23 62 81
24 78 55 24 68
21 46 74 51 24
17 51 74 48 33
85 30 71 18 34
15 83 70 58 61
56 17 67 38 37
50 80 16 29 96
75 94 72 10 95
28 67 79 97 98
22 83 85 88 62
24 34 66 92 23
55 61 95 79 58
42 91 11 43 24
60 53 11 44 60
95 86 48 63 85
57 54 36 73 51
34 11 30 42 55
40 72 48 50 44
59 93 52 79 45
35 14 48 34 91
10 76 57 80 44
92 91 64 41 98
25 73 37 91 20
97 51 81 66 56
71 60 33 55 20
96 10 52 77 20
83 97 89 49 79
42 27 25 12 60
91 34 23 52 80
76 33 89 56 74
44 47 31 78 71
14 48 74 33 41
38 25 41 30 80
72 26 68 17 17
32 85 37 68 25
20 45 55 41 75
55 91 50 56 27
12 23 46 74 52
81 99 33 83 84
31 51 74 61 94
15 53 51 52 61
39 77 36 79 13
33 10 58 38 56
45 42 54 26 21
19 73 47 45 48
74 40 88 91 24
24 76 11 62 86
78 62 20 72 12
41 11 92 67 68
93 16 39 96 68
91 76 66 40 92
32 27 87 15 53
57 37 23 75 33
39 88 86 49 47
21 52 41 85 82
10 67 66 98 55
32 81 59 97 28
28 43 73 25 75
44 31 75 47 79
92 76 83 89 89
46 62 74 87 96
42 34 54 84 49
87 33 61 24 63
23 32 84 26 19
52 65 93 68 72
54 52 57 51 43
87 82 57 76 71
89 82 48 44 80
23 22 63 98 15
38 49 95 63 57
37 98 94 15 75
39 61 63 39 24
78 87 96 22 80
48 49 81 40 37
13 49 36 64 10
79 78 76 34 37
30 67 60 31 81
41 84 95 17 24
63 37 76 16 58
69 53 59 54 24
45 48 55 52 45
24 51 16 69 30
15 54 65 89 73
45 26 82 49 90
31 99 56 69 35
82 32 80 17 50
13 72 73 87 37
11 99 76 14 22
78 82 55 53 33
33 86 69 63 49
87 51 99 73 73
32 35 39 55 91
81 57 90 13 68
16 26 75 15 98
72 12 62 76 97
16 20 95 19 59
95 34 23 30 79
58 42 78 53 16
87 33 77 62 76
47 26 94 37 85
72 13 19 21 89
32 53 40 47 93
76 17 50 11 71
31 53 69 88 59
87 47 94 97 89
10 54 35 45 61
85 49 91 82 83
12 51 58 46 53
42 43 25 55 95
84 79 43 98 38
25 50 63 64 40
47 28 89 38 76
94 33 91 10 57
24 65 95 12 50
23 11 43 78 41
57 79 77 30 35
47 47 90 63 83
99 75 69 85 77
29 15 34 20 83
99 24 23 60 80
19 57 32 90 15
69 29 90 58 45
57 89 19 46 44
25 85 92 72 38
75 98 11 75 95
79 54 62 58 35
78 67 75 57 47
44 99 30 36 87
26 36 36 85 54
16 70 99 92 74
68 68 53 85 39
63 88 45 32 69
51 89 63 33 63
41 19 29 89 27
21 88 82 25 28
54 96 31 67 66
92 45 57 75 12
77 15 38 14 47
18 54 82 89 11
70 77 30 87 58
41 50 45 24 70
83 36 23 73 81
62 29 39 69 83
97 35 42 80 83
18 45 81 20 18
